Graphic,Enum,Specification,APP-06 code,identifier1,identifier2,countryCodes,additionalInfo,hostility,status,dtg1,dtg2,echelon,direction,mineType,mobility,terrain,altitude1,altitude2,width,length,radius,grids,weapon,rangeFan
"exfiltrate",Exfiltrate,"FM 1-02.2 + APP-06",343700,,,,,Y,,,,,,,,,,,,,,,,
"exploitation",Exploitation,"FM 1-02.2 + APP-06",343100,,,,,Y,,,,,,,,,,,,,,,,
"Explosives, Planned State of Readiness",ExplosivesPlannedStateOfReadiness,"FM 1-02.2 + APP-06",271201,,,,,Y,,,,,,,,,,,,,,,,
"Explosives, State of Readiness 1 (Safe)",ExplosivesStateOfReadiness1Safe,"FM 1-02.2 + APP-06",271202,,,,,Y,,,,,,,,,,,,,,,,
"Explosives, State of Readiness 2 (Armed but Passable)",ExplosivesStateOfReadiness2ArmedButPassable,"FM 1-02.2 + APP-06",271203,,,,,Y,,,,,,,,,,,,,,,,
"extraction zone",ExtractionZone,"APP-06",150700,Y,,,,Y,Y,,,,,,,,,,,,,,,
"ferry crossing",FerryCrossing,"FM 1-02.2 + APP-06",290700,,,,,Y,,,,,,,,,,,,,,,,
"fields of fire / sector of fire",FieldsOfFire,"FM 1-02.2 + APP-06",140500,Y,,,,Y,,,,,,,,,,,,,,,,
"fighter engagement zone",FighterEngagementZone,"APP-06",171400,Y,,,,Y,Y,Y,Y,,,,,,Y,Y,,,,,,
"fighting position",FightingPosition,"FM 1-02.2",,,,,,Y,,,,,,,,,,,,,Y,,,
"final coordination line",FinalCoordinationLine,"FM 1-02.2 + APP-06",140700,Y,,,,Y,Y,,,,,,,,,,,,,,,
"final protective fire",FinalProtectiveFire,"FM 1-02.2 + APP-06",240703,Y,Y,,,Y,,,,,,,,,,,,,,,Y,
"fire support area circular",FireSupportAreaCircular,"FM 1-02.2 + APP-06",241003,Y,,,,Y,,Y,Y,,,,,,,,,,Y,,,
"fire support area irregular",FireSupportAreaIrregular,"FM 1-02.2 + APP-06",241001,Y,,,,Y,,Y,Y,,,,,,,,,,,,,
"fire support area rectangular",FireSupportAreaRectangular,"FM 1-02.2 + APP-06",241002,Y,,,,Y,,Y,Y,,,,,,,,Y,,,,,
"fire support coordination line",FireSupportCoordinationLine,"FM 1-02.2 + APP-06",260100,Y,,,,Y,Y,Y,Y,,,,,,,,,,,,,
"fix",TacticalFix,"FM 1-02.2 + APP-06",341100,,,,,,,,,,,,,,,,,,,,,
"fix",Fix,"FM 1-02.2 + APP-06",270503,,,,,,,,,,,,,,,,,,,,,
"follow and assume",FollowAndAssume,"FM 1-02.2 + APP-06",341200,Y,,,,Y,,,,,,,,,,,,,,,,
"follow and support",FollowAndSupport,"FM 1-02.2 + APP-06",341300,Y,,,,Y,,,,,,,,,,,,,,,,
"ford, difficult",FordDifficult,"FM 1-02.2 + APP-06",271600,,,,,Y,,,,,,,,,,,,,,,,
"ford, easy",FordEasy,"FM 1-02.2 + APP-06",271500,,,,,Y,,,,,,,,,,,,,,,,
"fortified area",FortifiedArea,"FM 1-02.2 + APP-06",151000,Y,,,,Y,,,,,,,,,,,,,,,,
"fortified position",FortifiedPosition,"APP-06",291000,,,,,Y,,,,,,,,,,,,,,,,
"fortified/trench line",FortifiedLine,"FM 1-02.2 + APP-06",290900,,,,,Y,,,,,,,,,,,,,,,,
"forward arming and refueling point",ForwardArmingAndRefuelingPoint,"FM 1-02.2 + APP-06",310300,Y,,,,Y,Y,,,,,,,,,,,,,,,
"forward edge of battle area",ForwardEdgeOfBattleArea,"FM 1-02.2 + APP-06",140400,Y,,,,Y,Y,,,,,,,,,,,,,,,
"forward line of own troops",ForwardLineOfOwnTroops,"FM 1-02.2 + APP-06",140100,,,,,Y,Y,,,,,,,,,,,,,,,
"forward passage of lines",ForwardPassageOfLines,"FM 1-02.2 + APP-06",344100,,,,,Y,,,,,,,,,,,,,,,,
"free fire area circular",FreeFireAreaCircular,"FM 1-02.2 + APP-06",240203,Y,,,,Y,Y,Y,Y,,,,,,,,,,Y,,,
"free fire area irregular",FreeFireAreaIrregular,"FM 1-02.2 + APP-06",240201,Y,,,,Y,Y,Y,Y,,,,,,,,,,,,,
"free fire area rectangular",FreeFireAreaRectangular,"FM 1-02.2 + APP-06",240202,Y,,,,Y,Y,Y,Y,,,,,,,,Y,,,,,
"frontal attack",FrontalAttack,"FM 1-02.2 + APP-06",152700,,,,,Y,,,,,,,,,,,,,,,,
"gap",Gap,"FM 1-02.2 + APP-06",290600,Y,,,,Y,,Y,,,,,,,,,,,,,,
"group/series of targets",GroupOrSeriesOfTargets,"FM 1-02.2 + APP-06",240805,Y,,,,Y,,,,,,,,,,,,,,,,
